辉丰股份,9234.68
西泵股份,9166.78
国瓷材料,9160.24
长信科技,9110.04
华天科技,9106.5
星网锐捷,9057.28
露天煤业,9046.88
中国核建,9027.27
华海药业,9015.61
康欣新材,9013.58
三友化工,8888.79
中直股份,8879.69
理工环科,8867.03
中金环境,8762.53
国星光电,8711.98
厦门钨业,8629.62
益丰药房,8599.72
长江电力,8537.02
金禾实业,8527.4
当代明诚,8412.41
扬杰科技,8301.97
金龙汽车,8256.03
招商轮船,8203.06
黄山旅游,8066.68
渤海金控,8021.67
拓邦股份,7959.26
旭升股份,7754.42
合众思壮,7732.88
海德股份,7645.16
用友网络,7485.39
杭氧股份,7440.28
生物股份,7277.24
国机汽车,7259.56
冀中能源,7240.21
尚品宅配,7224.85
阳光城,7213.73
中文传媒,7200.48
外运发展,7143.04
先导智能,7102.29
融捷股份,7099.79
华侨城A,7082.55
美克家居,7073.62
汇川技术,7060.06
恒顺醋业,7007.05
山煤国际,7001.92
中远海特,6908.61
南都电源,6815.75
正泰电器,6814.91
顺丰控股,6759.57
中青旅,6709.81
中科曙光,6667.51
华鲁恒升,6620.83
汇顶科技,6558.16
爱尔眼科,6546.05
上海机场,6499.96
泛海控股,6488.68
铁汉生态,6421.83
华发股份,6384.22
佳都科技,6371.65
华东重机,6358.54
浦发银行,6347.2
艾华集团,6276.15
志邦股份,6269.66
中鼎股份,6221.58
首航节能,6201.46
联创电子,6184.51
鹏博士,6154.13
新大陆,6141.7
黑猫股份,6136.48
BRILLIANCE CHI,6106.92
北方华创,6061.32
中泰桥梁,5995.57
柳州医药,5951.81
藏格控股,5930.54
精锻科技,5912.05
中国重汽,5859.43
方大特钢,5846.21
青岛啤酒,5845.69
台海核电,5768.08
碧水源,5737.19
科森科技,5699.35
玲珑轮胎,5650.42
徐工机械,5608.61
松芝股份,5588.16
上海能源,5575.86
阳谷华泰,5568.1
深振业A,5562.29
海南橡胶,5558.18
皖通高速,5511.7
银轮股份,5481.45
四川路桥,5373.33
海天味业,5364.89
福田汽车,5293.72
岳阳林纸,5253.09
中国中铁,5245.58
杰赛科技,5234.54
同仁堂,5228.63
宁沪高速,5127.33
美盈森,5063.01
威华股份,5019.49
国光电器,5013.32
九州通,5004.08
巨星科技,4917.06
小康股份,4889.49
荣泰健康,4877.9
王府井,4872.31
中泰化学,4825.52
首商股份,4791.98
富春环保,4761.33
德赛电池,4752.87
欧普康视,4707.13
歌华有线,4688.13
通富微电,4648.17
步步高,4642.32
中信银行,4597.75
思美传媒,4582.62
天虹股份,4577.54
金证股份,4572.9
京新药业,4552.73
吉艾科技,4540.39
老百姓,4522.35
绿地控股,4517.16
美亚柏科,4516.36
白云山,4499.77
恩华药业,4471.88
东软集团,4452.88
方大炭素,4448.06
海正药业,4443.92
中国重工,4429.15
三棵树,4427.61
深高速,4403.86
蓝光发展,4373.7
联化科技,4355.21
大元泵业,4316.13
腾达建设,4282.32
特变电工,4247.27
金螳螂,4231.94
太平鸟,4224.37
众泰汽车,4126.98
康恩贝,4118.7
日科化学,4114.62
重庆啤酒,4099.07
重庆百货,4091.1
亚翔集成,4074.89
滨江集团,4071.54
平治信息,4064.19
中国船舶,4051.18
富瀚微,4045.97
吉林敖东,4006.73
高新兴,3963.4
龙洲股份,3886.8
光韵达,3866.88
百川能源,3821.54
北方国际,3808.14
视觉中国,3793.38
山鹰纸业,3725.84
兄弟科技,3680.07
中国中冶,3644.52
弘亚数控,3633.59
重庆路桥,3600.98
西部矿业,3560.7
光大证券,3551.68
日海通讯,3509.4
老白干酒,3487.59
爱建集团,3457.77999999999
超图软件,3452.85
卫星石化,3444.89
兴业证券,3430.81
坚瑞沃能,3429.59
帝龙文化,3426.23
第一创业,3404.96
京山轻机,3403.55
飞乐音响,3400.13
光明乳业,3375.66
北控水务集团,3368.43
德尔股份,3368.14
孚日股份,3367.68
航天发展,3339.25
全志科技,3339.21
宝硕股份,3338.38
新安股份,3322.35
宏大爆破,3311.91
欧普照明,3280.16
富控互动,3262.5
天银机电,3262.18
金圆股份,3258.83
安泰集团,3249.36
中国交建,3238.88
继峰股份,3237.28
锦江股份,3230.55
恒生电子,3196.98
伊力特,3182.1
国投安信,3170.67
智飞生物,3151.12
国恩股份,3102.35
金力泰,3101.65
舜宇光学科技,3101.56
岭南园林,3091.54
吉比特,3089.46
均胜电子,3088.93
山东威达,3080.89
日出东方,3063.41
透景生命,3045.07
中富通,3038.89
中化国际,3038.19
普洛药业,3015.41
科融环境,3008.88
英特集团,3002.85
广宇发展,2977.6
鲁西化工,2943.19
奥普光电,2940.51
掌趣科技,2928.24
黄河旋风,2895.12
华业资本,2891.83
光迅科技,2886.19
汉得信息,2879.14
驰宏锌锗,2874.62
中航机电,2873.64
飞科电器,2845.32
大同煤业,2837.46
中原高速,2836.9
亿联网络,2826.56
诺德股份,2798.25
圆通速递,2797.8
南京医药,2784.95
紫光国芯,2783.15
长江传媒,2775.17
焦作万方,2774.31
浙能电力,2765.11
科士达,2756.02
金财互联,2750
赛轮金宇,2748.74
广弘控股,2742.14
新洋丰,2696.6
康尼机电,2694.04
信达地产,2679.83
长江证券,2657.39
博汇纸业,2648.37
赞宇科技,2635.31
国电电力,2629.72
湖南海利,2606.68
